@relation training

@attribute 'preferred position' {top,jungle,mid,adc,support}
@attribute 'current rank(%of top)' numeric
@attribute 'recent P/kill' numeric
@attribute 'highest champ gold' numeric
@attribute 'highest champ cs' numeric
@attribute 'avg turrent' numeric
@attribute 'avg dmg' numeric
@attribute 'number of seasons' numeric
@attribute 'number of recent teammates' numeric
@attribute '# of games played with most played champion' numeric
@attribute 'overall winrate' {high,medium,low}

@data
top,14.04,51,13322,30.5,0.55,157332,2,11,10,high
adc,17.81,53,12900,54.4,0.83,134177,4,9,8,medium
top,9.63,57,13593,214.9,1.66,177804,2,0,1,high
adc,4.65,45,12999,68.2,1.38,165869,2,19,4,high
support,7.85,51,11364,44.5,0.36,50743,4,8,0,high
mid,26.76,57,12346,171.4,1.19,139277,3,5,1,medium
top,41.7,50,12115,156.0,1.20,129205,4,3,4,low
adc,19,43,9317,9.1,0.15,12795,3,17,7,medium
support,6.83,57,9108,34.1,0.13,36184,4,11,1,high
top,2.92,46,12026,200.2,0.94,128390,4,11,31,medium
adc,2.55,45,12497,204.6,1.17,160053,4,11,4,medium
support,4.01,53,9628,48.3,0.27,32617,4,4,5,high
jungle,6.86,57,12203,39.1,0.78,143190,3,12,19,medium
mid,8.03,52,12980,176.7,0.73,136849,4,17,2,high
top,4.85,39,13420,215.8,1.63,142733,4,5,4,high
adc,69.0,42,13061,202.3,2.00,173220,5,10,0,high
top,23.11,46,12710,202.3,2.07,144808,2,9,4,high
support,37.99,42,10533,15.5,0.44,20624,5,2,1,medium
mid,42.3,51,9655,42.6,0.30,24857,3,16,3,high
adc,26.79,37,10249,17.2,0.43,16491,6,12,4,low
mid,13.71,54,14678,195.3,0.85,151401,3,5,4,high
mid,21.86,51,13090,168,0.93,129540,2,9,19,high
support,11.42,56,10308,35.9,0.63,28507,6,9,4,low
adc,12.29,47,13345,196.5,1.82,145295,3,5,2,medium
support,15.87,52,11560,70.8,0.82,67492,4,3,12,medium
mid,5.80,58,12888,148.6,1.39,127905,4,16,20,medium
top,23.85,37,12263,190.2,2.15,128613,5,9,3,low
mid,18.07,50,12223,183.9,1.48,145911,3,0,5,medium
mid,32.31,49,12904,185.5,1.08,138274,2,15,4,high
jungle,5.39,58,13312,190.1,1.37,159074,4,11,5,medium
jungle,93.0,41,14144,56.6,0.00,184257,3,8,2,low
top,4.89,47,12447,188.3,1.19,140265,6,9,5,medium
adc,8.77,58,13268,166.8,0.91,138465,4,7,4,high
adc,5.09,49,13320,203.6,1.34,178680,4,3,1,high
adc,10.72,55,15181,236.0,1.87,200270,1,7,6,high
support,63.0,55,11323,177.4,0.89,133989,4,11,3,low
mid,18.92,56,13865,255.5,1.16,175813,3,14,4,low
adc,9.23,61,13712,60.8,0.74,161439,3,12,3,medium
mid,2.28,60,12721,179.3,0.78,130319,5,13,1,medium
mid,17.3,43,12492,163.7,0.6,138788,5,10,15,low
adc,15.5,46,12750,213.8,1.78,153632,5,7,8,medium
mid,86,44,14426,75.4,0.91,184454,1,9,3,low
top,68.0,56,14792,217.0,2.00,192444,5,20,4,high
mid,24.54,56,12820,174.9,1.36,142691,3,8,2,high
mid,2.03,56,12460,181.4,1.07,142689,5,11,0,high
support,0.36,55,12089,166.2,1.04,127562,2,16,6,high
mid,2.92,53,14587,203.0,2.19,173752,5,11,6,high
top,0.46,53,12309,192.9,1.24,117729,3,7,8,high
mid,13.39,40,13575,228.4,0.75,169327,2,7,0,medium
adc,60.0,63,13575,171.1,1.36,162102,2,3,0,medium
support,26.35,55,9283,27.3,0.28,17105,4,13,2,medium
adc,17.34,45,12327,58.0,0.31,178340,4,9,3,low
jungle,54.0,49,13023,183.5,1.36,152823,3,15,0,low
top,36.25,51,12499,184.4,0.68,117924,5,11,1,low
jungle,15.98,59,13859,88.6,1.51,179439,2,13,12,medium
support,16.22,61,9703,14.9,0.24,17309,4,0,5,low
support,36.73,49,9436,18.6,0.33,21459,3,19,7,low
adc,25.44,57,13981,171.0,2.14,137411,3,16,0,low
support,42.2,54,10697,39.0,0.56,31836,2,2,21,medium
adc,29.08,52,11864,64.4,0.50,143728,5,5,8,medium
adc,59.0,47,12971,182.3,1.38,148191,2,15,2,medium
adc,43.5,50,13136,175.3,1.50,143180,2,9,4,medium
adc,45.1,51,12200,160.0,0.80,114244,3,2,18,medium
support,43.7,60,10543,30.1,0.27,42303,2,2,7,medium
jungle,59.0,53,12198,47.7,0.91,135460,2,14,1,low
adc,68.0,52,13960,209.5,1.81,181841,3,7,5,medium
top,57.0,43,13227,192.3,1.07,151545,2,0,21,medium
jungle,46.3,46,13767,160.8,1.00,129886,2,2,3,medium
adc,88.0,53,15198,194.7,2.33,182188,4,4,6,low
mid,65.0,50,12371,181.2,1.27,140261,3,2,4,medium
mid,55.0,49,13105,176.8,0.97,127700,2,4,12,high
support,69.0,51,12261,66.1,0.51,73331,1,12,4,low
support,78.0,46,9836,50.5,0.19,31411,1,8,11,low
support,43.5,50,10609,24.7,0.38,34223,2,3,10,medium
jungle,67.0,50,9295,26.3,0.75,20211,5,19,1,low
adc,88.0,62,17686,212.5,2.88,209746,2,2,18,high
jungle,71.0,51,13262,60,0.95,165085,3,12,11,high
support,86.0,55,12230,77.7,0.50,75149,2,2,0,high
mid,44.6,51,12561,166.1,1.45,146011,4,0,3,medium
adc,71.0,44,14712,213.8,1.19,162890,3,10,3,medium
jungle,5.45,46,13502,194.7,1.47,152344,3,4,2,medium
mid,72.0,37,11620,143.2,1.17,102227,4,6,6,low
adc,46.3,47,12774,172.0,1.83,139299,2,2,38,medium
adc,39.14,54,13692,179.0,2.18,127458,3,13,12,medium
mid,57.0,50,11906,155.4,0.97,120096,4,9,4,medium
support,44.0,49,8769,9.7,0.08,13813,4,6,3,low
support,52.0,51,10076,19.3,0.46,30998,2,17,7,low
adc,41.4,56,13108,169.3,1.72,133655,2,7,17,medium
adc,48.9,44,12474,59.1,0.64,158349,2,14,4,low
mid,48.1,47,13416,162.5,1.03,127895,2,12,1,high
adc,46.3,47,12774,172.0,1.83,139229,2,2,38,medium
adc,43.9,39,15419,272.0,1.57,215089,4,3,0,low
support,23.56,54,9979,13.2,0.64,21056,4,4,5,high
support,26.0,49.0,10044,24.7,0.51,34654,2,7,1,high
support,2.404,54,9032,12.2,0.40,16402,4,2,17,medium
mid,14.92,42,13112,181.4,0.74,135691,3,0,11,medium
support,43.5,44,9115,46.1,0.23,29564,4,6,12,low
adc,46.1,49,13440,193.0,1.71,145234,2,0,2,low
top,10.76,47,12123,182.9,1.18,136044,2,11,0,high
top,6.00,39,12682,196.4,1.57,134858,5,11,0,high
top,48.8,52,14394,211.0,0.94,190223,4,12,1,low
adc,35.3,40,9753,12.5,0.42,22320,2,7,18,medium
adc,31.05,54,13082,174.8,1.19,131494,5,0,4,high
support,38.22,46,12990,216.2,1.78,179127,3,6,25,medium
adc,11.79,48,12735,199.4,1.29,147210,6,2,4,medium
mid,16.16,52,9373,32.3,0.47,29105,2,6,2,high
mid,28.6,55,14982,226.0,2.00,202067,4,4,7,high
top,33.13,42,13130,187.8,1.52,142337,4,2,7,medium
adc,40.2,51,13357,52.1,1.33,144954,4,4,10,medium
support,47.2,49,11051,45.3,0.14,124816,4,0,7,medium
adc,43.7,52,13600,190.9,1.90,179864,3,2,4,low
support,33.21,44,10151,45.6,0.20,28653,4,14,10,medium
adc,43.8,48,12500,180.5,1.00,135030,3,0,15,low
adc,44.9,46,8923,51.0,0.57,30824,3,3,3,low
adc,33.18,51,12930,174.8,1.61,143659,5,0,9,high
adc,68.0,52,11142,161.5,1.33,129632,2,15,6,low
adc,24.82,42,11318,109.6,0.64,96337,3,2,8,medium
mid,31.33,48,13349,196.7,1.58,152925,4,11,9,low
adc,51.0,54,10401,150.5,0.50,91781,5,3,1,high
mid,30.6,60,14101,210.8,2.27,158265,4,9,2,low
mid,21.3,51,15057,193.0,1.72,191956,3,15,4,medium
jungle,42.6,53,13541,197.0,0.89,212358,2,8,18,medium
support,14.5,57,11769,128.8,0.5,97687,5,3,13,medium
top,24.1,44,12318,168.1,0.96,140577,4,8,6,medium
adc,17.4,49,13179,162.9,2.0,154498,1,8,11,medium
mid,36.5,55,11539,68.4,0.14,151722,2,0,13,high
support,29.8,63,11005,24.9,0.39,30717,4,3,38,medium
jungle,34.5,44,7777,9.5,0.18,9045,2,2,4,low
support,17.7,50,7956,14.4,0.21,12708,4,6,9,low
support,36.4,48,14014,204.8,0.92,176055,3,16,2,medium
top,31.4,48,13667,178.3,1.29,176160,4,5,2,medium
mid,17.7,43,12105,122.0,0.87,113720,5,0,14,medium
adc,19.7,49,12657,197.8,1.90,152633,5,4,2,medium
jungle,33.5,41,12410,61.9,0.62,144115,1,0,3,low
top,24.4,47,12671,54.7,0.60,133617,5,20,6,low
mid,17.3,48,13287,186.4,1.03,153663,3,11,15,medium
support,17.4,53,11661,49.1,0.54,115170,4,5,29,medium
adc,15.1,60,11423,148.3,1.27,108467,4,11,15,medium
adc,16.2,61,14633,191.0,1.26,21243,3,9,10,high
support,9.18,57,9337,13.2,0.31,16114,4,0,26,medium
support,8.96,57,9865,14.5,0.35,19349,4,0,9,high
support,16.3,60,9036,43.7,0.14,25456,6,18,5,medium
adc,12.0,47,9872,24.0,0.28,37034,5,7,11,medium
support,7.71,54,9613,43.8,0.23,23954,5,5,3,medium
adc,6.25,48,14000,186.5,1.70,158593,4,0,11,high
adc,3.55,63,12540,197.3,1.52,161739,3,4,4,high
top,45.4,56,12273,172.5,1.03,128372,3,14,7,medium
top,7.77,44,13628,189.6,1.00,141212,4,17,1,high
adc,6.91,49,13330,187.2,1.88,142769,5,14,10,medium
